CD_PACOTE,CD_ITEM,CD_PREST,TP_ACOMODACAO,DT_INI_VIGENCIA,IND_ABRANG_GEOGR,NR_IDADE_MIN,NR_IDADE_MAX,FG_PACOTE_A1200,FG_CIRURGICO,ID_ORIGEM
86000004,99999927,,9,01/01/2019,1,,,S,,1028903
86000004,99999935,,9,01/01/2019,1,,,S,,1028903
86000005,99999919,,9,01/01/2019,1,,,S,,1028904
86000005,99999927,,9,01/01/2019,1,,,S,,1028904
86000005,99999935,,9,01/01/2019,1,,,S,,1028904
86000006,99999919,,9,01/01/2019,1,,,S,,1028905
86000006,99999927,,9,01/01/2019,1,,,S,,1028905
86000006,99999935,,9,01/01/2019,1,,,S,,1028905
86000007,99999919,,9,01/01/2019,1,,,S,,1028906
86000007,99999927,,9,01/01/2019,1,,,S,,1028906
86000007,99999935,,9,01/01/2019,1,,,S,,1028906
86000008,99999919,,9,01/01/2019,1,,,S,,1028907
86000008,99999927,,9,01/01/2019,1,,,S,,1028907
86000008,99999935,,9,01/01/2019,1,,,S,,1028907
86000009,99999919,,9,01/01/2019,1,,,S,,1028908
86000009,99999927,,9,01/01/2019,1,,,S,,1028908
86000009,99999935,,9,01/01/2019,1,,,S,,1028908
86000010,99999919,,9,01/01/2019,1,,,S,,1028909
86000010,99999927,,9,01/01/2019,1,,,S,,1028909
86000010,99999935,,9,01/01/2019,1,,,S,,1028909
86000011,99999919,,9,01/01/2019,1,,,S,,1028910
86000011,99999927,,9,01/01/2019,1,,,S,,1028910
86000011,99999935,,9,01/01/2019,1,,,S,,1028910
86000012,99999919,,9,01/01/2019,1,,,S,,1028911
86000012,99999927,,9,01/01/2019,1,,,S,,1028911
86000012,99999935,,9,01/01/2019,1,,,S,,1028911
86000013,99999919,,9,01/01/2019,1,,,S,,1028912
86000013,99999927,,9,01/01/2019,1,,,S,,1028912
86000013,99999935,,9,01/01/2019,1,,,S,,1028912
87000001,99999919,,9,01/01/2019,1,,,S,,1028913
87000001,99999927,,9,01/01/2019,1,,,S,,1028913
87000001,99999935,,9,01/01/2019,1,,,S,,1028913
87000003,99999919,,9,01/01/2019,1,,,S,,1028915
