CD_PACOTE,CD_ITEM_COMPOSTO,NR_QTD,VL_UNIT,ID_ORIGEM
87000005,99999927,1.0000,"377,55",3333535
87000005,99999935,1.0000,144,3333536
87000006,99999919,1.0000,"593,09",3333537
87000006,99999927,1.0000,"450,73",3333538
87000006,99999935,1.0000,"253,18",3333539
87000012,99999919,1.0000,"237,05",3333507
87000012,99999927,1.0000,152,3333508
87000012,99999935,1.0000,"222,95",3333509
87000013,99999919,1.0000,237,3333510
87000013,99999927,1.0000,152,3333511
87000013,99999935,1.0000,223,3333512
87000014,99999919,1.0000,237,3333513
87000014,99999927,1.0000,152,3333514
87000014,99999935,1.0000,223,3333515
87000015,99999919,1.0000,"311,69",3333516
87000015,99999927,1.0000,"178,24",3333517
87000015,99999935,1.0000,"388,07",3333518
87000016,99999919,1.0000,"311,69",3333519
87000016,99999927,1.0000,"195,9",3333520
87000016,99999935,1.0000,"406,31",3333521
87000017,99999919,1.0000,450,3333522
87000017,99999927,1.0000,177,3333523
87000017,99999935,1.0000,631,3333524
87000018,99999919,1.0000,"414,22",3333501
87000018,99999927,1.0000,"247,64",3333502
87000018,99999935,1.0000,"368,14",3333503
87000019,99999919,1.0000,"466,37",3333504
87000019,99999927,1.0000,"225,34",3333505
87000019,99999935,1.0000,"352,29",3333506
87000020,99999919,1.0000,"852,58",3333492
87000020,99999927,1.0000,385,3333493
87000020,99999935,1.0000,"224,42",3333494
87000021,99999919,1.0000,"328,45",3333495
87000021,99999927,1.0000,"377,55",3333496
87000021,99999935,1.0000,144,3333497
87000022,99999919,1.0000,311,3333498
87000022,99999927,1.0000,110,3333499
87000022,99999935,1.0000,222,3333500
85004004,99999919,1.0000,640,3333484
85004004,99999927,1.0000,"336,4",3333485
85004004,99999935,1.0000,"168,43",3333486
85004004,72613432,1.0000,180,3333487
85004004,72600829,1.0000,250,3333488
85004004,00261890,1.0000,80,3333489
85004004,00267619,1.0000,300,3333490
85004004,79058078,1.0000,319,3333491
85009001,99999919,1.0000,"1226,11",3341400
85009001,99999927,1.0000,"491,73",3341401
85009001,99999935,1.0000,"904,55",3341402
86000014,99999919,1.0000,"819,73",3341262
86000014,99999927,1.0000,"329,44",3341263
86000014,99999935,1.0000,"636,45",3341264
87000023,99999919,1.0000,"311,69",3333525
87000023,99999927,1.0000,"181,43",3333526
87000023,99999935,1.0000,"388,07",3333527
85003006,99999927,1.0000,"150,58",3341667
85003006,99999935,1.0000,"192,58",3341668
85003006,00637181,1.0000,"144,9",3341669
88000001,40401014,1.0000,"15,12",3333543
88000001,40402045,1.0000,"16,1",3333544
88000001,40403424,1.0000,"24,77",3333545
88000001,40403440,1.0000,"7,43",3333546
88000001,40403467,1.0000,"7,43",3333547
88000001,40403483,1.0000,"24,77",3333548
88000001,40403505,1.0000,"18,58",3333549
88000001,40403548,1.0000,"6,19",3333550
88000001,40403661,1.0000,"6,19",3333551
88000001,99999919,1.0000,"35,55",3333552
88000001,40403262,1.0000,28,3333553
88000001,40403289,1.0000,28,3333554
88000001,40403890,1.0000,28,3333555
88000002,40401014,1.0000,"15,12",3333584
88000002,40402053,1.0000,"19,81",3333585
88000002,40403424,1.0000,"24,77",3333586
88000002,40403440,1.0000,"7,43",3333587
88000002,40403467,1.0000,"7,43",3333588
88000002,40403483,1.0000,"24,77",3333589
88000002,40403505,1.0000,"18,58",3333590
88000002,40403548,1.0000,"6,19",3333591
88000002,40403661,1.0000,"6,19",3333592
88000002,99999919,1.0000,"35,55",3333593
88000002,40403262,1.0000,28,3333594
88000002,40403289,1.0000,28,3333595
88000002,40403890,1.0000,28,3333596
88000003,40401014,1.0000,"15,12",3333599
88000003,40402096,1.0000,"11,15",3333600
88000003,40403424,1.0000,"24,77",3333601
88000003,40403440,1.0000,"7,43",3333602
88000003,40403467,1.0000,"7,43",3333603
88000003,40403483,1.0000,"24,77",3333604
88000003,40403505,1.0000,"18,58",3333605
88000003,40403602,1.0000,"1,24",3333606
88000003,40403661,1.0000,"6,19",3333607
88000003,99999919,1.0000,"35,55",3333598
88000003,40403262,1.0000,28,3333608
88000003,40403289,1.0000,28,3333609
88000003,40403890,1.0000,28,3333610
88000004,40401014,1.0000,"15,12",3333611
88000004,40402061,1.0000,"7,43",3333612
88000004,40403300,1.0000,"74,3",3333613
88000004,40403424,1.0000,"24,77",3333614
88000004,40403440,1.0000,"7,43",3333615
88000004,40403467,1.0000,"7,43",3333616
88000004,40403483,1.0000,"24,77",3333617
88000004,40403505,1.0000,"18,58",3333618
88000004,40403602,1.0000,"1,24",3333619
88000004,40403661,1.0000,"6,19",3333620
88000004,40402029,1.0000,"371,52",3333621
88000004,99999919,1.0000,"6,65",3333622
88000004,40403262,1.0000,28,3333623
88000004,40403289,1.0000,28,3333624
88000004,40403890,1.0000,28,3333625
88000006,40401014,1.0000,"15,12",3333640
88000006,40402045,1.0000,"16,1",3333641
88000006,40403424,1.0000,"24,77",3333642
88000006,40403440,1.0000,"7,43",3333643
88000006,40403467,1.0000,"7,43",3333644
88000006,40403483,1.0000,"24,77",3333645
88000006,40403505,1.0000,"18,58",3333646
88000006,40403602,1.0000,"1,24",3333647
88000006,40403661,1.0000,"6,19",3333648
88000006,99999919,1.0000,"35,55",3333649
88000006,40403262,1.0000,28,3333650
88000006,40403289,1.0000,28,3333651
88000006,40403890,1.0000,28,3333652
88000007,40401014,1.0000,"15,12",3333653
88000007,40402088,1.0000,"7,43",3333654
88000007,40403424,1.0000,"24,77",3333655
88000007,40403440,1.0000,"7,43",3333656
88000007,40403467,1.0000,"7,43",3333657
88000007,40403483,1.0000,"24,77",3333658
88000007,40403505,1.0000,"18,58",3333659
88000007,40403602,1.0000,"1,24",3333660
88000007,40403661,1.0000,"6,19",3333661
88000007,99999919,1.0000,"35,55",3333662
88000007,40403262,1.0000,28,3333663
88000007,40403289,1.0000,28,3333664
88000008,40401014,1.0000,"15,12",3333666
88000009,40401014,1.0000,"15,12",3333680
88000011,40401014,1.0000,"15,12",3333626
88000009,40402045,1.0000,"16,1",3333681
88000008,40402045,1.0000,"16,1",3333667
88000008,40402088,1.0000,"7,43",3333668
88000009,40402088,1.0000,"7,43",3333682
88000009,40403424,1.0000,"24,77",3333683
88000008,40403424,1.0000,"24,77",3333669
88000011,40403424,1.0000,"24,77",3333627
88000011,40403440,1.0000,"7,43",3333628
88000008,40403440,1.0000,"7,43",3333670
88000009,40403440,1.0000,"7,43",3333684
88000009,40403467,1.0000,"7,43",3333685
88000008,40403467,1.0000,"7,43",3333671
88000011,40403467,1.0000,"7,43",3333629
88000011,40403483,1.0000,"24,77",3333630
88000008,40403483,1.0000,"24,77",3333672
88000009,40403483,1.0000,"24,77",3333686
88000009,40403505,1.0000,"18,58",3333687
88000008,40403505,1.0000,"18,58",3333673
88000011,40403505,1.0000,"18,58",3333631
88000011,40403602,1.0000,"1,24",3333632
88000008,40403602,1.0000,"1,24",3333674
88000009,40403602,1.0000,"1,24",3333688
88000009,40403661,1.0000,"6,19",3333689
88000008,40403661,1.0000,"6,19",3333675
88000011,40403661,1.0000,"6,19",3333633
88000011,40402070,1.0000,"7,43",3333634
87000033,99999919,1.0000,"890,1",3341490
87000037,99999919,1.0000,"2289,51",3341852
85009002,99999919,1.0000,"1951,9",3341415
85003015,99999919,1.0000,"160,22",3375850
85003014,99999919,1.0000,"355,58",3333745
85003016,99999919,1.0000,"131,93",3333749
88000008,99999919,1.0000,"35,55",3333676
88000009,99999919,1.0000,"35,55",3333690
87000024,99999919,1.0000,"668,71",3341761
87000027,99999919,1.0000,"668,71",3341652
86000015,99999919,1.0000,"1151,77",3341637
85003008,99999919,1.0000,"846,62",3341325
85003007,99999919,1.0000,"603,97",3341340
85003009,99999919,1.0000,"603,97",3341355
85003010,99999919,1.0000,"413,54",3341370
85003011,99999919,1.0000,"2957,6",3342424
85003012,99999919,1.0000,"2238,2",3341807
85003013,99999919,1.0000,"660,4",3341385
85009004,99999919,1.0000,"2509,8",3341837
87000029,99999919,1.0000,"152,9",3341776
87000030,99999919,1.0000,"152,9",3341791
87000031,99999919,1.0000,"427,18",3341430
87000032,99999919,1.0000,"927,08",3341475
87000039,99999919,1.0000,"354,72",3341535
87000036,99999919,1.0000,"2832,17",3342255
87000042,99999919,1.0000,"2832,17",3342192
87000038,99999919,1.0000,"625,23",3341520
85009003,99999919,1.0000,"2419,56",3341822
87000035,99999919,1.0000,"846,62",3341505
87000034,99999919,1.0000,"927,08",3376596
87000034,99999927,1.0000,"416,83",3376597
87000035,99999927,1.0000,"322,54",3341506
85009003,99999927,1.0000,"1013,68",3341823
87000038,99999927,1.0000,"141,41",3341521
87000042,99999927,1.0000,"1810,9",3342193
87000036,99999927,1.0000,"1810,9",3342256
87000039,99999927,1.0000,"48,7",3341536
87000032,99999927,1.0000,"416,83",3341476
87000031,99999927,1.0000,"247,32",3341431
87000030,99999927,1.0000,"185,77",3341792
87000029,99999927,1.0000,"185,77",3341777
85009004,99999927,1.0000,"466,56",3341838
85003013,99999927,1.0000,"124,44",3341386
85003012,99999927,1.0000,"432,22",3341808
85003011,99999927,1.0000,"603,39",3342425
85003010,99999927,1.0000,"72,45",3341371
85003009,99999927,1.0000,"283,26",3341356
85003007,99999927,1.0000,"124,75",3341341
85003008,99999927,1.0000,"320,38",3341326
86000015,99999927,1.0000,"914,23",3341638
87000027,99999927,1.0000,"997,77",3341653
87000024,99999927,1.0000,"997,77",3341762
85003016,99999927,1.0000,"31,8",3333750
85003014,99999927,1.0000,"189,72",3333746
85003015,99999927,1.0000,"72,45",3375851
85009002,99999927,1.0000,"1085,91",3341416
87000037,99999927,1.0000,"1184,77",3341853
87000033,99999927,1.0000,"416,83",3341491
87000033,99999935,1.0000,"453,35",3341492
87000037,99999935,1.0000,"582,41",3341854
85009002,99999935,1.0000,"837,8",3341417
85003015,99999935,1.0000,"159,36",3375852
85003014,99999935,1.0000,"375,44",3333747
85003016,99999935,1.0000,"14,27",3333751
87000024,99999935,1.0000,"587,2",3341763
87000027,99999935,1.0000,"587,2",3341654
86000015,99999935,1.0000,"709,34",3341639
85003008,99999935,1.0000,"319,87",3341327
85003007,99999935,1.0000,"178,39",3341342
85003009,99999935,1.0000,"354,37",3341357
85003010,99999935,1.0000,"159,36",3341372
85003011,99999935,1.0000,"368,38",3342426
85003012,99999935,1.0000,"378,53",3341809
85003013,99999935,1.0000,"84,61",3341387
85009004,99999935,1.0000,"693,43",3341839
87000029,99999935,1.0000,"127,97",3341778
87000030,99999935,1.0000,"127,97",3341793
87000031,99999935,1.0000,"152,81",3341432
87000032,99999935,1.0000,"453,35",3341477
87000039,99999935,1.0000,"211,31",3341537
87000036,99999935,1.0000,"1836,04",3342257
87000042,99999935,1.0000,"1836,04",3342194
87000038,99999935,1.0000,"131,38",3341522
85009003,99999935,1.0000,"1662,12",3341824
87000035,99999935,1.0000,"327,98",3341507
87000034,99999935,1.0000,"453,35",3376598
87000042,60000554,1.0000,"1750,82",3342195
87000036,60000805,1.0000,"1155,16",3342258
88000009,40403262,1.0000,28,3333691
88000008,40403262,1.0000,28,3333677
88000011,40403262,1.0000,28,3333635
88000011,40403289,1.0000,28,3333636
88000008,40403289,1.0000,28,3333678
88000009,40403289,1.0000,28,3333692
88000009,40403890,1.0000,28,3333693
88000008,40403890,1.0000,28,3333679
88000011,40403890,1.0000,28,3333637
88000007,40403890,1.0000,28,3333665
85003014,00776874,1.0000,736,3333748
88000011,89999932,1.0000,"28,9",3333638
88000011,89999916,1.0000,"6,65",3333639
