CD_GRUPO,CD_CONTRATO_VENDA,ID_ORIGEM
31,164002700,607
31,164003300,607
31,164003400,607
31,164003600,607
31,164003700,607
36,164013600,640
35,164016300,617
31,164037800,607
31,164038400,607
93,164099000,613
1,164100200,399
1,164100600,399
1,164100800,399
1,164100900,399
1,164101000,399
1,164111200,399
1,164111600,399
1,164114100,399
1,164115300,399
1,164115400,399
1,164115700,399
1,164115800,399
1,164116000,399
1,164116100,399
1,164116200,399
1,164116500,399
1,164116700,399
1,164116800,399
1,164116900,399
1,164117100,399
1,164117500,399
1,164117700,399
1,164118100,399
1,164118200,399
1,164118900,399
1,164121300,399
1,164121500,399
1,164150200,399
1,164157400,399
1,164157500,399
1,164157600,399
1,164220100,399
1,164220200,399
1,164220400,399
1,164220500,399
1,164220600,399
1,164221200,399
1,164221400,399
1,164221900,399
1,164222300,399
1,164222400,399
1,164223100,399
1,164223500,399
1,164223800,399
1,164224100,399
1,164224300,399
1,164224400,399
1,164224800,399
1,164225600,399
1,164225700,399
1,164226000,399
1,164226800,399
1,164227000,399
1,164227300,399
1,164227700,399
1,164227800,399
1,164229000,399
1,164229200,399
1,164229300,399
1,164229600,399
1,164229900,399
1,164230000,399
1,164230100,399
1,164230200,399
1,164230500,399
1,164230900,399
1,164231400,399
1,164231600,399
1,164231900,399
1,164232000,399
1,164232100,399
1,164232200,399
1,164232400,399
1,164232500,399
1,164232600,399
1,164233100,399
1,164233600,399
1,164233700,399
1,164233800,399
1,164234100,399
1,164234400,399
1,164234500,399
1,164235000,399
1,164235200,399
1,164235400,399
1,164236300,399
1,164236400,399
1,164236500,399
1,164237200,399
1,164237400,399
1,164237500,399
1,164237600,399
1,164237800,399
1,164237900,399
1,164238300,399
1,164238400,399
1,164238500,399
1,164238700,399
1,164239000,399
1,164239200,399
1,164239300,399
1,164239500,399
1,164239600,399
1,164239900,399
1,164240200,399
1,164240400,399
1,164240700,399
1,164240900,399
1,164241000,399
1,164241400,399
1,164241600,399
1,164241700,399
1,164241900,399
1,164242100,399
1,164243000,399
1,164243100,399
1,164243300,399
1,164243500,399
1,164244100,399
1,164244400,399
1,164245200,399
1,164246000,399
1,164246400,399
1,164246700,399
1,164247100,399
1,164247200,399
1,164247300,399
1,164247700,399
1,164247800,399
1,164247900,399
1,164248100,399
1,164248300,399
1,164248500,399
1,164248600,399
1,164248700,399
1,164248800,399
1,164248900,399
1,164249200,399
1,164249300,399
1,164249400,399
1,164249500,399
1,164249600,399
1,164249700,399
1,164249900,399
1,164260100,399
1,164260200,399
1,164260300,399
1,164260400,399
1,164260500,399
1,164260600,399
1,164260700,399
1,164261100,399
1,164261400,399
1,164261500,399
1,164261600,399
1,164262000,399
1,164262100,399
1,164262200,399
1,164262300,399
1,164262500,399
1,164262700,399
1,164263200,399
1,164263300,399
1,164263600,399
1,164263700,399
1,164263800,399
1,164263900,399
1,164264000,399
1,164264100,399
1,164264300,399
1,164264400,399
1,164264500,399
1,164264600,399
1,164264700,399
1,164264900,399
1,164265400,399
1,164265700,399
1,164265800,399
1,164265900,399
1,164266100,399
1,164266200,399
1,164266300,399
1,164266400,399
1,164266500,399
1,164266600,399
1,164266800,399
1,164266900,399
1,164267400,399
1,164267600,399
1,164267800,399
1,164268000,399
1,164268100,399
1,164268200,399
1,164268300,399
1,164268400,399
1,164268500,399
1,164268600,399
1,164268700,399
1,164268900,399
1,164269100,399
1,164269300,399
1,164269400,399
1,164270000,399
1,164270100,399
1,164270200,399
1,164270300,399
1,164270400,399
1,164270500,399
1,164270700,399
1,164270900,399
1,164271000,399
1,164271300,399
1,164271700,399
1,164271800,399
1,164272200,399
1,164272400,399
1,164272600,399
1,164272800,399
1,164273000,399
1,164273300,399
1,164273400,399
1,164273500,399
1,164273600,399
1,164273800,399
1,164274000,399
1,164274400,399
1,164274500,399
1,164274700,399
1,164274800,399
1,164274900,399
1,164275300,399
1,164275700,399
1,164275800,399
1,164275900,399
1,164276000,399
1,164276900,399
1,164277000,399
1,164277200,399
1,164277300,399
1,164277400,399
1,164277600,399
1,164278200,399
1,164278300,399
1,164278400,399
1,164278500,399
1,164278800,399
1,164279000,399
1,164279200,399
1,164279300,399
1,164279400,399
1,164279600,399
1,164279700,399
1,164280300,399
1,164280400,399
1,164280500,399
1,164280900,399
1,164281000,399
1,164281400,399
1,164281600,399
1,164281800,399
1,164282500,399
1,164283400,399
1,164283500,399
1,164283800,399
1,164284200,399
1,164284300,399
1,164284900,399
1,164285100,399
1,164285300,399
1,164285400,399
1,164285500,399
1,164285600,399
1,164286000,399
1,164286300,399
1,164286400,399
1,164286600,399
1,164287200,399
1,164287300,399
1,164287400,399
1,164287500,399
1,164287700,399
1,164287800,399
1,164288000,399
1,164288200,399
1,164288400,399
1,164288500,399
1,164289000,399
1,164289300,399
1,164289400,399
1,164289500,399
1,164289600,399
1,164289700,399
1,164289800,399
1,164289900,399
1,164290000,399
1,164290300,399
1,164290700,399
1,164290800,399
1,164291100,399
1,164291600,399
1,164292100,399
1,164292300,399
1,164292400,399
1,164292500,399
1,164292600,399
1,164292900,399
1,164293300,399
1,164293500,399
1,164293700,399
1,164293800,399
1,164293900,399
1,164294000,399
1,164294300,399
1,164294500,399
1,164294600,399
1,164294900,399
1,164295000,399
1,164295200,399
1,164295500,399
1,164296000,399
1,164296100,399
1,164296200,399
1,164296300,399
1,164296400,399
1,164296500,399
1,164296700,399
1,164296800,399
1,164296900,399
1,164297100,399
1,164297500,399
1,164297600,399
1,164298200,399
1,164298300,399
1,164298400,399
1,164298500,399
