CD_GRUPO,CD_ITEM,ID_ORIGEM
29441,79969054,237871
29441,79969836,237880
29441,79970770,237903
29441,79970818,237905
29441,79971512,237912
29441,70457425,264334
29441,70961743,268339
29441,70965650,268362
29441,70971358,268394
29441,70972281,268398
29441,70973008,268403
29441,70973024,268405
29441,70973091,268412
29441,70973164,268419
29441,70973210,268423
29441,70973261,268428
29441,70973318,268430
29441,70980985,268464
29441,70981132,268471
29441,70981159,268473
29441,71002154,268730
29441,71002189,268732
29441,71002359,268737
29441,71002413,268739
29441,71002588,268746
29441,71002723,268748
29441,71002944,268755
29441,71002979,268757
29441,71003126,268762
29441,71003150,268764
29441,71003266,268771
29441,71003312,268773
29441,71003410,268780
29441,71003495,268782
29441,71003614,268787
29441,71003711,268789
29441,71006966,268996
29441,71006990,268998
29441,71007628,269032
29441,71007695,269039
29441,71007717,269041
29441,71007768,269046
29441,71007784,269048
29441,71016082,269398
29441,71018239,269516
29441,71019634,269607
29441,71019650,269609
29441,71019707,269614
29441,71019731,269616
29441,71019758,269618
29441,71019804,269623
29441,71019820,269625
29441,71019928,269632
29441,71025286,269791
29441,71025367,269798
29441,71025383,269800
29441,71025723,269807
29441,71025758,269809
29441,71027610,269848
29441,71027661,269850
29441,71027742,269852
29441,71027947,269857
29441,71027971,269859
29441,71028129,269866
29441,71029036,269898
29441,71029133,269900
29441,71031243,269941
29441,71032444,269943
29441,71049487,270111
29441,71078924,270402
29441,71079025,270409
29441,71079041,270411
29441,71079114,270418
29441,71079130,270420
29441,71079181,270425
29441,71079351,270427
29441,71089438,270754
29441,71098283,271027
29441,71127372,271579
29441,71127399,271581
29441,71127445,271586
29441,71127461,271588
29441,71127488,271590
29441,71127569,271595
29441,71127585,271597
29441,71127763,271604
29441,71160302,273267
29441,71160329,273269
29441,71160370,273274
29441,71160396,273276
29441,71160418,273278
29441,71160671,273283
29441,71160825,273285
21618,20101015,21768
21997,20103018,21777
21997,20103042,21779
21997,20103140,21786
21997,20103190,21788
21997,20103263,21795
21997,20103280,21797
21997,20103360,21802
21997,20103387,21804
21997,20103492,21811
21997,20103530,21813
21997,20103700,21820
26983,20104014,21822
27978,20104065,21827
27816,20104081,21829
21767,20104219,21836
23131,20104260,21838
27233,20202016,21845
21842,20202032,21847
21842,20204035,21852
21842,20204086,21854
23150,30101212,23156
28959,30101239,23158
28709,30101379,23165
28628,30101433,23167
26998,30101492,23172
27502,30101522,23174
28652,30101549,23176
26998,30101620,23181
28652,30101786,23190
28765,30101824,23192
28652,30101891,23197
28754,30201071,23206
28754,30201098,23208
26760,30202078,23215
28690,30202108,23217
28066,30203015,23222
26768,30204020,23224
26768,30204062,23226
28066,30205018,23231
28066,30205042,23233
26780,30205140,23242
29441,71200029,131
29441,71200037,132
29441,79924018,3591
29441,79924026,3592
29441,79968953,7604
29441,79969224,7620
29441,79969399,7634
29441,79969402,7635
29441,79969445,7636
29441,79969461,7637
29441,79969801,7651
29441,79969810,7652
29441,79969828,7653
29441,79969968,7667
29441,79969976,7668
29441,79969984,7669
29441,79969992,7670
29441,79970516,7704
29441,79970664,7717
29441,79970672,7718
29441,79970680,7719
29441,79970699,7720
29441,79970702,7721
29441,79970842,7734
29441,79970850,7735
29441,79970869,7736
29441,79970877,7737
29441,79971040,7751
29441,79971059,7752
29441,79971083,7753
29441,79971091,7754
29441,79971288,7768
29441,79971300,7769
29441,79971326,7770
29441,79971334,7771
29441,79971474,7784
29441,79971482,7785
29441,79971520,7787
29441,79971539,7788
29441,70525609,32104
29441,70525595,32973
29441,70011770,33926
29441,70012105,33958
29441,70037990,34929
29441,70039720,34992
29441,70039739,34993
29441,70039747,34994
29441,70043540,35026
29441,70043558,35027
29441,70043566,35028
29441,70043574,35029
29441,70072531,36714
29441,70097119,37917
29441,70100896,38067
29440,60000554,132479
29440,60000694,132493
29441,70204268,229309
29441,74836765,229325
29441,70850267,229358
29441,70139229,229661
29441,70139237,229662
29441,70360758,230478
29441,70360782,230479
29441,70360812,230480
29441,70360880,230481
29441,70525528,230545
29441,70705330,235894
29441,70851034,236095
29441,70139059,236096
29441,70200041,236097
29441,70568456,236129
29441,70236739,236130
29441,70241902,236144
29441,70260265,236147
29441,70264040,236163
29441,70243476,236178
29441,70244499,236179
29441,70244634,236180
29441,70716811,236245
29441,70716838,236246
29441,70716846,236247
29441,70705283,236396
29441,70019878,236529
29441,70019967,236531
29441,70227101,236598
29441,70360723,236613
29441,70360855,236614
29441,70360910,236615
29441,70197580,236879
29441,70699216,236881
29441,70223769,236948
29441,70852308,237216
29441,79938914,237364
29441,79970508,237898
29441,79970729,237900
29441,70037280,238467
29441,70961417,268332
29441,70961697,268334
29441,70961700,268335
29441,70972290,268399
29441,70972974,268400
29441,70972982,268401
29441,70972990,268402
29441,70973130,268416
29441,70973148,268417
29441,70973334,268432
29441,70973342,268433
29441,70973350,268434
29441,70980993,268465
29441,70981078,268466
29441,70981086,268467
29441,70981108,268468
29441,70981116,268469
29441,71002197,268733
29441,71002227,268734
29441,71002316,268735
29441,71002332,268736
29441,71002812,268750
29441,71002855,268751
29441,71002871,268752
29441,71002901,268753
29441,71003185,268766
29441,71003193,268767
29441,71003231,268768
29441,71003509,268783
29441,71003533,268784
