DT_FERIADO,TP_FERIADO,DS_FERIADO,ID_ORIGEM
01/04/2018,1,PASCOA,19662655
21/04/2018,1,TIRADENTES,19283328
01/05/2018,1,DIA DO TRABALHO,31032554
31/05/2018,1,CORPUS CHRISTI,27966396
05/09/2018,1,CARNAVAL,13575620
07/09/2018,1,INDEPENDENCIA DO BRASIL,6476636
12/10/2018,1,NOSSA SENHORA APARECIDA,28025040
02/11/2018,1,FINADOS,396572
15/11/2018,1,PROCLAMACAO DA REPUBLICA,21516512
25/12/2018,1,NATAL,13007995
01/01/2019,1,ANO NOVO,2791947
19/04/2019,1,SEXTA FEIRA DA PAIXAO,9644566
21/04/2019,1,TIRADENTES,29651286
01/05/2019,1,DIA DO TRABALHO,24075002
20/06/2019,1,CORPUS CHRISTI,3808171
08/08/2019,1,SAO DOMINGOS,7878534
15/08/2019,1,NSA SENHORA ABADIA,12158211
07/09/2019,1,INDEPENDENCIA DO BRASIL,14602897
12/10/2019,1,NOSSA SENHORA APARECIDA,2259323
02/11/2019,1,FINADOS,7187464
15/11/2019,1,PROCLAMACAO DA REPUBLICA,20665327
19/12/2019,1,ANIVERSARIO CIDADE,7684937
25/12/2019,1,NATAL,26879700
01/01/2020,1,ANO NOVO,14543480
25/02/2020,1,CARNAVAL,29048444
10/04/2020,1,PAIXAO DE CRISTO,4578083
21/04/2020,1,TIRADENTES,15687618
01/05/2020,1,TRABALHO,24210811
11/06/2020,1,CORPUS CRISTHI,12471280
08/08/2020,1,SAO DOMINGOS,30108096
15/08/2020,1,NSA SRA ABADIA,21596851
07/09/2020,1,INDEPENDENCIA,18622452
12/10/2020,1,NSA SRA APARECIDA,21894026
02/11/2020,1,FINADOS,17095860
15/11/2020,1,PROCLAMACAO DA REPUBLICA,16051016
19/12/2020,1,ANIVERSARIO CIDADE,13800552
25/12/2020,1,NATAL,24284775
12/10/2021,1,NOSSA SENHORA DA ABADIA,19088222
02/11/2021,1,FINADOS,31670228
15/11/2021,1,PROGRAMACAO DA REPUBLICA,13078238
25/12/2021,1,NATAL,2171073
01/01/2022,1,CONFRATERNIZAÇÃO UNIVERSAL,27675180
01/03/2022,1,CARNAVAL,19240403
07/04/2022,1,SEXTA FEIRA SANTA,6647603
15/04/2022,1,SEXTA FEIRA SANTA,27623890
21/04/2022,1,TIRADENTES,30491086
01/05/2022,1,DIA DO TRABALHO,30147568
16/06/2022,1,CORPUS CHRISTI,23075654
07/09/2022,1,INDEPENDENCIA DO BRASIL,4290900
12/10/2022,1,NOSSA SENHORA APARECIDA,10858073
02/11/2022,1,FINADOS,12465565
15/11/2022,1,PROCLAMAÇÃO DA REPUBLICA,8110093
25/12/2022,1,NATAL,19872294
01/01/2023,1,CONFRATERNIZAÇÃO UNIVERSAL,9074322
21/02/2023,1,CARNAVAL,20212565
07/04/2023,1,TIRADENTES,28187690
21/04/2023,1,SEXTA FEIRA SANTA,5102427
01/05/2023,1,DIA DO TRABALHO,3973747
08/06/2023,1,CORPUS CHRISTI,16088748
08/08/2023,1,SÃO DOMINGOS,19840898
15/08/2023,1,NOSSA SENHORA DA ABADIA,5951854
07/09/2023,1,INDEPENDENCIA DO BRASIL,10264750
12/10/2023,1,NOSSA SENHORA APARECIDA,10338875
02/11/2023,1,FINADOS,26578270
15/11/2023,1,PROCLAMAÇÃO DA REPUBLICA,29757446
25/12/2023,1,NATAL,274349
